areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
overview,United Kingdom,K02000001,2021-02-25,8025,4242725,7901,4230884,124,11841
overview,United Kingdom,K02000001,2021-02-24,8845,4234700,8732,4222983,113,11717
overview,United Kingdom,K02000001,2021-02-23,9762,4225855,9632,4214251,130,11604
overview,United Kingdom,K02000001,2021-02-22,11655,4216093,11473,4204619,182,11474
overview,United Kingdom,K02000001,2021-02-21,8097,4204438,8041,4193146,56,11292
overview,United Kingdom,K02000001,2021-02-20,8312,4196341,8247,4185105,65,11236
overview,United Kingdom,K02000001,2021-02-19,10728,4188029,10603,4176858,125,11171
overview,United Kingdom,K02000001,2021-02-18,11794,4177301,11680,4166255,114,11046
overview,United Kingdom,K02000001,2021-02-17,11942,4165507,11814,4154575,128,10932
overview,United Kingdom,K02000001,2021-02-16,12941,4153565,12820,4142761,121,10804
overview,United Kingdom,K02000001,2021-02-15,14735,4140624,14561,4129941,174,10683
overview,United Kingdom,K02000001,2021-02-14,8994,4125889,8945,4115380,49,10509
overview,United Kingdom,K02000001,2021-02-13,9034,4116895,8977,4106435,57,10460
overview,United Kingdom,K02000001,2021-02-12,12573,4107861,12459,4097458,114,10403
overview,United Kingdom,K02000001,2021-02-11,13139,4095288,13052,4084999,87,10289
overview,United Kingdom,K02000001,2021-02-10,13899,4082149,13780,4071947,119,10202
overview,United Kingdom,K02000001,2021-02-09,14225,4068250,14096,4058167,129,10083
overview,United Kingdom,K02000001,2021-02-08,16194,4054025,16079,4044071,115,9954
overview,United Kingdom,K02000001,2021-02-07,11664,4037831,11619,4027992,45,9839
overview,United Kingdom,K02000001,2021-02-06,12320,4026167,12265,4016373,55,9794
overview,United Kingdom,K02000001,2021-02-05,16308,4013847,16201,4004108,107,9739
overview,United Kingdom,K02000001,2021-02-04,18492,3997539,18395,3987907,97,9632
overview,United Kingdom,K02000001,2021-02-03,19914,3979047,19787,3969512,127,9535
overview,United Kingdom,K02000001,2021-02-02,20267,3959133,20152,3949725,115,9408
overview,United Kingdom,K02000001,2021-02-01,22971,3938866,22852,3929573,119,9293
overview,United Kingdom,K02000001,2021-01-31,15783,3915895,15726,3906721,57,9174
overview,United Kingdom,K02000001,2021-01-30,17167,3900112,17098,3890995,69,9117
overview,United Kingdom,K02000001,2021-01-29,22433,3882945,22329,3873897,104,9048
overview,United Kingdom,K02000001,2021-01-28,24772,3860512,24659,3851568,113,8944
overview,United Kingdom,K02000001,2021-01-27,26303,3835740,26189,3826909,114,8831
overview,United Kingdom,K02000001,2021-01-26,27730,3809437,27587,3800720,143,8717
overview,United Kingdom,K02000001,2021-01-25,30736,3781707,30588,3773133,148,8574
overview,United Kingdom,K02000001,2021-01-24,17554,3750971,17512,3742545,42,8426
overview,United Kingdom,K02000001,2021-01-23,22344,3733417,22270,3725033,74,8384
overview,United Kingdom,K02000001,2021-01-22,30330,3711073,30208,3702763,122,8310
overview,United Kingdom,K02000001,2021-01-21,32501,3680743,32370,3672555,131,8188
overview,United Kingdom,K02000001,2021-01-20,35985,3648242,35824,3640185,161,8057
overview,United Kingdom,K02000001,2021-01-19,40526,3612257,40342,3604361,184,7896
overview,United Kingdom,K02000001,2021-01-18,45956,3571731,45752,3564019,204,7712
overview,United Kingdom,K02000001,2021-01-17,29592,3525775,29507,3518267,85,7508
overview,United Kingdom,K02000001,2021-01-16,31248,3496183,31160,3488760,88,7423
overview,United Kingdom,K02000001,2021-01-15,41450,3464935,41313,3457600,137,7335
overview,United Kingdom,K02000001,2021-01-14,43473,3423485,43316,3416287,157,7198
overview,United Kingdom,K02000001,2021-01-13,46506,3380012,46377,3372971,129,7041
overview,United Kingdom,K02000001,2021-01-12,50647,3333506,50435,3326594,212,6912
overview,United Kingdom,K02000001,2021-01-11,58591,3282859,58380,3276159,211,6700
